"TEST_HEADER_START","Data source","Date","Time","Specimen identifier","TEST_HEADER_END","SPECIMEN_HEADER_START","Specimen type","Side (mm)","Area (sq mm)","Axial Gauge Length (mm)","Transverse Gauge Length (mm)","Grip Separation (mm)","SPECIMEN_HEADER_END","RESULTS_HEADER_START","Average Load 0.00 N-0.00 mm (N) ","Extension at EOT (mm) ","Extension at 0.000 N (mm) ","Extension at Max Load (mm) ","Last Load at 12.7000 mm (N) ","Last Posn at 0.000 N (mm) ","Load at Break (N) ","Load at 0.0000 mm (N) ","Free Height (mm) ","Load at 0.0000 mm (N) ","Spring Rate (N/mm) ","Load at Max Position (N) ","Maximum Load (N) ","Maximum Position (mm) ","Maximum Stress (MPa) ","Modulus of Elasticity (psi) ","Stress at Break (MPa) ","Stress at 100.0000 % (MPa) ","Work of Rupture (Nmm) ","RESULTS_HEADER_END"
"TEST_INFO_START","3DP_Cube_X1-2023-08-29-13-38-50.mtwData","2023-08-29","13:38:50","3DP_Cube_X1","TEST_INFO_END","SPECIMEN_INFO_START","Square",9.0,81.00001,9.0,1.0,9.0,"SPECIMEN_INFO_END","RESULTS_INFO_START","5.291","5.5516","0.0000","5.5514","N/A","N/A","2.006","0.0610","2.006","N/A","593.927","594.346","5.5516","7.34","3933","N/A","RESULTS_INFO_END"

"Time","Load (N)","Position (mm)","Control Out (V)","Stress (MPa)"
0.0,2.0058205,0.0,-0.17274004,0.024763212
0.009875297546386719,1.9715331,6.664777E-5,-0.17640238,0.02433991
0.01987457275390625,1.9867718,1.7328419E-4,-0.1641946,0.024528043
0.029999732971191406,1.9886768,2.6660564E-4,-0.13733749,0.024551563
0.039999961853027344,1.9810573,3.4658294E-4,-0.12512971,0.024457494
0.04987525939941406,2.0020108,3.9990115E-4,-0.15686993,0.024716178
0.059874534606933594,1.9810573,4.3988982E-4,-0.20325948,0.024457494
0.06987476348876953,1.9962962,5.065376E-4,-0.2081426,0.024645628
0.07987499237060547,1.9905816,5.865295E-4,-0.21058415,0.024575079
0.0898752212524414,1.9677233,6.531772E-4,-0.2130257,0.024292875
0.09987449645996094,2.0077252,7.064954E-4,-0.24354514,0.024786728
0.10987472534179688,1.9753426,7.464841E-4,-0.2887139,0.024386944
0.11999988555908203,2.0058205,7.998023E-4,-0.30702558,0.024763212
0.13000011444091797,1.9924866,8.531205E-4,-0.3387658,0.024598597
0.1398754119873047,1.9867718,9.1978285E-4,-0.35707745,0.024528043
0.14987468719482422,1.9962962,9.864307E-4,-0.35829824,0.024645628
0.15999984741210938,1.9810573,0.0010397489,-0.39125922,0.024457494
0.1698751449584961,2.0020108,0.0011063967,-0.39614233,0.024716178
0.17987537384033203,1.9867718,0.0011597149,-0.4266618,0.024528043
0.18987464904785156,1.9867718,0.0012397066,-0.4303241,0.024528043
0.1998748779296875,2.0001059,0.0013463431,-0.403467,0.024692662
0.20987510681152344,1.9810573,0.0014529795,-0.3656229,0.024457494
0.21987533569335938,2.0191545,0.0016262783,-0.27162302,0.024927832
0.22999954223632812,2.0058205,0.001812892,-0.1641946,0.024763212
0.23987483978271484,2.0153449,0.0019595318,-0.08362327,0.024880799
0.25,2.0477276,0.0020661682,-0.044558384,0.025280582
0.26000022888183594,2.0191545,0.002106157,-0.08850638,0.024927832
0.26987457275390625,2.0343933,0.0021461456,-0.13611671,0.025115965
0.2798748016357422,2.0191545,0.0022261373,-0.12390893,0.024927832
0.28999996185302734,2.0077252,0.0023327738,-0.0982726,0.024786728
0.29987525939941406,2.040108,0.0023994215,-0.11414271,0.025186514
0.3100004196166992,2.0115352,0.0024527397,-0.1312336,0.024833761
0.31987476348876953,2.0324886,0.0024927284,-0.17640238,0.025092449
0.3299999237060547,2.042013,0.0025593906,-0.19471404,0.025210032
0.3398752212524414,2.0324886,0.0026260384,-0.19593482,0.025092449
0.34987449645996094,2.0629663,0.0026926862,-0.21424648,0.025468718
0.3599996566772461,2.0191545,0.0027326748,-0.24720748,0.024927832
0.36999988555908203,2.0362983,0.0027726635,-0.29115546,0.025139483
0.37987518310546875,2.026774,0.0028259964,-0.3216749,0.025021898
0.3898754119873047,2.0248692,0.0028793146,-0.337545,0.024998382
0.3998746871948242,2.0382032,0.0029326328,-0.37050602,0.025162999
0.40987491607666016,2.01344,0.0030126101,-0.37172678,0.02485728
0.4200000762939453,2.042013,0.0030925875,-0.3607398,0.025210032
0.42987537384033203,2.0362983,0.0031725792,-0.36196056,0.025139483
0.4399995803833008,2.026774,0.003265886,-0.33632424,0.025021898
0.4499998092651367,2.0439177,0.0033725225,-0.30946714,0.025233548
0.45987510681152344,2.0229642,0.0034925032,-0.27040225,0.024974864
0.4698753356933594,2.055347,0.0036257987,-0.20570104,0.025374651
0.4798746109008789,2.0477276,0.0037457647,-0.16663615,0.025280582
0.48999977111816406,2.040108,0.003839086,-0.14099982,0.025186514
0.4998750686645508,2.08011,0.0038790747,-0.18738937,0.025680369
0.5100002288818359,2.0496323,0.003932393,-0.21790881,0.025304101
0.5199995040893555,2.066776,0.0040123705,-0.21912959,0.02551575
0.5298748016357422,2.0458226,0.004092348,-0.2081426,0.025257066
0.5398750305175781,2.0496323,0.0041723396,-0.2130257,0.025304101
0.5498752593994141,2.0877297,0.004225658,-0.22889581,0.025774436
0.5598745346069336,2.0496323,0.0042656465,-0.2728438,0.025304101
0.5699996948242188,2.0763004,0.004305635,-0.30336323,0.025633335
0.5798749923706055,2.0477276,0.0043589533,-0.3338827,0.025280582
0.5898752212524414,2.028679,0.0044122715,-0.36684367,0.025045414
0.6000003814697266,2.0648713,0.004465604,-0.3827138,0.025492234
0.6099996566772461,2.053442,0.004505593,-0.4303241,0.025351135
0.6198749542236328,2.0877297,0.0045722406,-0.4486358,0.025774436
0.6298751831054688,2.0724907,0.0049454826,-0.13611671,0.0255863
0.6400003433227539,2.0629663,0.005078778,-0.08606482,0.025468718
0.6498746871948242,2.1010637,0.0050121304,-0.24354514,0.025939055
0.6599998474121094,2.066776,0.0050121304,-0.31801257,0.02551575
0.6700000762939453,2.0858247,0.0050121304,-0.40590855,0.025750918
0.679875373840332,2.0782053,0.0050654486,-0.42422023,0.025656853
0.6898746490478516,2.08011,0.0054653645,-0.09705182,0.025680369
0.6999998092651367,2.1163027,0.005691967,0.037233718,0.02612719
0.7098751068115234,2.0915394,0.0056519783,-0.06287005,0.025821472
0.7198753356933594,2.1220171,0.0056519783,-0.14954527,0.026197739
0.7299995422363281,2.1029685,0.0056786374,-0.2081426,0.02596257
