"TEST_HEADER_START","Data source","Date","Time","Specimen identifier","TEST_HEADER_END","SPECIMEN_HEADER_START","Specimen type","Side (mm)","Area (sq mm)","Axial Gauge Length (mm)","Transverse Gauge Length (mm)","Grip Separation (mm)","SPECIMEN_HEADER_END","RESULTS_HEADER_START","Average Load 0.00 N-0.00 mm (N) ","Extension at EOT (mm) ","Extension at 0.000 N (mm) ","Extension at Max Load (mm) ","Last Load at 12.7000 mm (N) ","Last Posn at 0.000 N (mm) ","Load at Break (N) ","Load at 0.0000 mm (N) ","Free Height (mm) ","Load at 0.0000 mm (N) ","Spring Rate (N/mm) ","Load at Max Position (N) ","Maximum Load (N) ","Maximum Position (mm) ","Maximum Stress (MPa) ","Modulus of Elasticity (psi) ","Stress at Break (MPa) ","Stress at 100.0000 % (MPa) ","Work of Rupture (Nmm) ","RESULTS_HEADER_END"
"TEST_INFO_START","3DP_Cube_X9-2023-08-29-14-39-41.mtwData","2023-08-29","14:39:41","3DP_Cube_X9","TEST_INFO_END","SPECIMEN_INFO_START","Square",9.0,81.00001,9.0,1.0,9.0,"SPECIMEN_INFO_END","RESULTS_INFO_START","3.5656","0.0000","3.5654","N/A","N/A","2.029","-0.0000","2.029","N/A","247.887","248.280","3.5656","3.07","3907","N/A","RESULTS_INFO_END"

"Time","Load (N)","Position (mm)","Control Out (V)","Stress (MPa)"
0.0,2.028679,0.0,-0.2349997,0.025045414
0.009999990463256836,2.0591567,1.4663237E-4,-0.15442838,0.025421685
0.02012503147125244,2.110588,2.3994288E-4,-0.1422206,0.026056638
0.029999971389770508,2.1372561,2.5327335E-4,-0.20081793,0.026385875
0.04012501239776611,2.1543999,2.7993336E-4,-0.26063603,0.026597524
0.04999995231628418,2.1772583,3.332543E-4,-0.29115546,0.026879728
0.060124993324279785,2.1563046,4.2656483E-4,-0.2667399,0.02662104
0.07012498378753662,2.196307,5.332067E-4,-0.24232437,0.027114894
0.08000004291534424,2.2039263,6.131877E-4,-0.25819448,0.027208963
0.09012496471405029,2.2153554,6.5317814E-4,-0.2887139,0.027350063
0.10000002384185791,2.2515478,6.665077E-4,-0.34731123,0.027796883
0.11012506484985352,2.2286894,6.798382E-4,-0.40712935,0.027514681
0.12000000476837158,2.2458332,7.7314867E-4,-0.39736313,0.027726334
0.12999999523162842,2.2725012,0.0011730535,-0.070194714,0.028055567
0.13999998569488525,2.3639348,0.0012130439,-0.10315571,0.029184377
0.15012502670288086,2.4096515,0.001133063,-0.2728438,0.02974878
0.15999996662139893,2.3753638,0.0011463935,-0.34609047,0.029325476
0.16999995708465576,2.3944125,0.0011463935,-0.41933712,0.029560644
0.18012499809265137,2.36203,0.0013596754,-0.31312945,0.02916086
0.1901249885559082,2.417271,0.0016662697,-0.055545382,0.029842846
0.20012497901916504,2.4953701,0.0016795993,-0.116584264,0.030807035
0.21012496948242188,2.5029898,0.0016662697,-0.21790881,0.030901102
0.2200000286102295,2.5353725,0.0016795993,-0.27772692,0.03130089
0.2301250696182251,2.5010848,0.0016795993,-0.3656229,0.030877585
0.24000000953674316,2.5048947,0.0016929298,-0.43886957,0.03092462
0.25012505054473877,2.5220385,0.0017329202,-0.46816823,0.031136272
0.2601250410079956,2.5163238,0.0020661736,-0.20936337,0.031065723
0.27012503147125244,2.598233,0.0024394183,0.10315571,0.032076944
0.2801250219345093,2.666808,0.0024394183,0.029909052,0.03292355
0.28999996185302734,2.7030003,0.0023994278,-0.11414271,0.03337037
0.2999999523162842,2.7296684,0.0024260879,-0.15931149,0.033699606
0.3101249933242798,2.689666,0.0024394183,-0.23255815,0.033205748
0.3201249837875366,2.7144294,0.0024794089,-0.27650613,0.03351147
0.33012497425079346,2.6877615,0.0025460594,-0.27894768,0.033182237
0.3400000333786011,2.7030003,0.0026260403,-0.29848012,0.03337037
0.3500000238418579,2.720144,0.0026926908,-0.2899347,0.03358202
0.36000001430511475,2.682047,0.0027326813,-0.33510345,0.033111684
0.37012505531311035,2.7296684,0.0027726719,-0.37905145,0.033699606
0.3801250457763672,2.7144294,0.0027860021,-0.43764877,0.03351147
0.38999998569488525,2.7258587,0.0029326337,-0.37172678,0.03365257
0.3999999761581421,2.7696705,0.003319208,-0.05676616,0.034193456
0.4099999666213989,2.8191972,0.003345868,-0.10193493,0.034804896
0.41999995708465576,2.8744378,0.003292548,-0.24720748,0.03548688
0.43012499809265137,2.8515797,0.0033058776,-0.30702558,0.03520468
0.4401249885559082,2.8630087,0.0033058776,-0.39492157,0.03534578
0.4500000476837158,2.8725333,0.0033058776,-0.48281756,0.03546337
0.4601249694824219,2.8401504,0.0036524623,-0.2081426,0.03506358
0.4701249599456787,2.9506323,0.003999046,0.064090826,0.036427554
0.4801250696182251,3.0173028,0.0039857156,-0.021363609,0.037250645
0.49012506008148193,3.068734,0.003945725,-0.13611671,0.0378856
0.5001250505447388,3.0725439,0.0039857156,-0.19593482,0.037932634
0.5101250410079956,3.0363514,0.003999046,-0.24110359,0.03748581
0.5199999809265137,3.0573046,0.004025706,-0.30092168,0.037744496
0.5299999713897705,3.0382564,0.004105687,-0.30458403,0.037509333
0.5401250123977661,3.0515902,0.004212328,-0.2667399,0.037673946
0.5499999523162842,3.0896876,0.0043323,-0.22889581,0.038144287
0.5600000619888306,3.0877826,0.0044122804,-0.23133737,0.03812077
0.5700000524520874,3.1487381,0.0044389404,-0.27650613,0.038873307
0.5800000429153442,3.1315944,0.004452271,-0.35097358,0.038661655
0.5900000333786011,3.1411188,0.004478931,-0.41079167,0.038779236
