"TEST_HEADER_START","Data source","Date","Time","Specimen identifier","TEST_HEADER_END","SPECIMEN_HEADER_START","Specimen type","Side (mm)","Area (sq mm)","Axial Gauge Length (mm)","Transverse Gauge Length (mm)","Grip Separation (mm)","SPECIMEN_HEADER_END","RESULTS_HEADER_START","Average Load 0.00 N-0.00 mm (N) ","Extension at EOT (mm) ","Extension at 0.000 N (mm) ","Extension at Max Load (mm) ","Last Load at 12.7000 mm (N) ","Last Posn at 0.000 N (mm) ","Load at Break (N) ","Load at 0.0000 mm (N) ","Free Height (mm) ","Load at 0.0000 mm (N) ","Spring Rate (N/mm) ","Load at Max Position (N) ","Maximum Load (N) ","Maximum Position (mm) ","Maximum Stress (MPa) ","Modulus of Elasticity (psi) ","Stress at Break (MPa) ","Stress at 100.0000 % (MPa) ","Work of Rupture (Nmm) ","RESULTS_HEADER_END"
"TEST_INFO_START","3DP_Beam_Y9-2024-02-20-11-09-56.mtwData","2024-02-20","11:09:56","3DP_Beam_Y9","TEST_INFO_END","SPECIMEN_INFO_START","Square",9.0,81.00001,9.0,1.0,9.0,"SPECIMEN_INFO_END","RESULTS_INFO_START","1.2434","0.0000","1.1941","N/A","N/A","1.029","0.0000","1.029","N/A","16.218","313.807","1.2435","3.87","7904","N/A","RESULTS_INFO_END"

"Time","Load (N)","Position (mm)","Control Out (V)","Stress (MPa)"
0.0,1.0286205,0.0,0.18983093,0.012699017
0.009874820709228516,1.0019526,1.06640065E-4,0.15809071,0.012369784
0.019999980926513672,1.0514787,1.8662102E-4,0.1422206,0.012981217
0.029999732971191406,1.0533836,2.2661332E-4,0.18006471,0.013004734
0.039875030517578125,1.0419545,2.3994288E-4,0.24720748,0.012863634
0.04987478256225586,1.1162437,2.9326475E-4,0.27040225,0.013780785
0.0598750114440918,1.0667175,3.4658294E-4,0.28016847,0.013169351
0.06987476348876953,1.1048146,4.1323435E-4,0.29237625,0.013639685
0.07987499237060547,1.1314826,4.7988576E-4,0.28749314,0.0139689185
0.08999967575073242,1.1029098,5.065449E-4,0.33998656,0.013616168
0.09987497329711914,1.1505312,5.332076E-4,0.37783068,0.014204086
0.10987472534179688,1.1029098,5.598667E-4,0.4303241,0.013616168
0.11999988555908203,1.1581506,7.731505E-4,0.30092168,0.014298152
0.12987470626831055,1.2057718,0.001133063,-0.026246719,0.014886069
0.1399998664855957,1.2019621,0.0011463925,0.039675273,0.014839036
0.14987468719482422,1.2591077,0.0010930743,0.17396082,0.0155445365
0.15987491607666016,1.2248204,0.0011064039,0.22645426,0.015121237
0.1700000762939453,1.2705368,0.0011064039,0.30702558,0.015685638
0.17999982833862305,1.2876805,0.0011197334,0.3607398,0.015897289
0.19000005722045898,1.280061,0.0011197334,0.44131112,0.015803222
0.19999980926513672,1.3314921,0.001399665,0.22645426,0.016438171
0.21000003814697266,1.3105388,0.0018128994,-0.13001283,0.016179489
0.2199997901916504,1.4076862,0.0018395621,-0.09216871,0.01737884
0.2298750877380371,1.4286397,0.0017862403,0.04211683,0.017637525
0.23987483978271484,1.436259,0.0017995698,0.095831044,0.01773159
0.25,1.4991193,0.0018128994,0.16297382,0.01850764
0.2598748207092285,1.436259,0.0018928803,0.14588293,0.01773159
0.26999998092651367,1.4934046,0.0020395126,0.07263627,0.018437091
0.2799997329711914,1.5219774,0.002106164,0.08362327,0.01878984
0.2898750305175781,1.5353113,0.0021328232,0.13611671,0.018954458
0.2999997138977051,1.5810279,0.002186145,0.15931149,0.01951886
0.3098750114440918,1.5676938,0.0022794555,0.12757127,0.019354243
0.31987476348876953,1.6362685,0.0023327775,0.13977905,0.020200843
0.32987499237060547,1.6457928,0.0023727661,0.18006471,0.020318426
0.3398747444152832,1.6476977,0.0024127583,0.20448026,0.020341946
0.34987497329711914,1.7067481,0.0024794098,0.21424648,0.021070963
0.3599996566772461,1.6838899,0.0024927394,0.28016847,0.02078876
0.3698749542236328,1.7181773,0.0024927394,0.34731123,0.021212062
0.37999963760375977,1.7257967,0.0024927394,0.42788255,0.02130613
0.3898749351501465,1.708653,0.00269269,0.29970092,0.021094479
0.3998746871948242,1.8058004,0.0030925947,-0.054324605,0.02229383
0.40987491607666016,1.8134198,0.0031059242,0.01037661,0.022387896
0.4198746681213379,1.9048529,0.003052606,0.1312336,0.023516698
0.42987489700317383,1.9067576,0.0030659356,0.1971556,0.023540216
0.43987464904785156,1.8991382,0.0030659356,0.27772692,0.023446146
0.4498748779296875,1.9486643,0.0030659356,0.34486967,0.02405758
0.45987462997436523,1.8953285,0.0030925947,0.41201246,0.023399113
0.46987485885620117,1.9486643,0.0031192575,0.4522981,0.02405758
